Property ID 	 Description 	 Represents 	 Domain 	 Allowed Values 	 Examples 	 Data Type
P397	the major body the item "belongs" to. It is not a physical properties, but a hierarchical classification followed by astronomers. See also located on astronomical body (P376).	primary body (Q7243056)	astronomic bodies - astronomical object (Q6999)	astronomical object (Q6999) (note: this should be moved to the property statements)	According to this template: Charon (Q6604) => Pluto (Q339) According to statements in the property: Charon (Q6604) ? Pluto (Q339) When possible, data should only be stored as statements	Item
P275	License that the content produced by the organization is released under	license (Q79719)	work (Q386724), and particularly computer program (Q40056)	license (Q79719), and particularly software license (Q207621) (note: this should be moved to the property statements)	Inkscape (Q8041) ? GPLv2 (Q10513450)	Item
P1317	The date(s) on/during which the subject was active. "Floruit" (abbreivated as "fl.") is commonly used when, for example, an author's birth and death dates are unknown but we do know when they were publishing (see floruit (Q36424) for reference).	null	human (Q5) mainly, although there appears to be some case for using it for other things	years, dates (note: this should be moved to the property statements)	Niccolò Roccatagliata (Q3875892) => fl. 1593 - 1636 William Baldwin (Q8004982) => fl. 1547 Samuel Austin (Q7410810) => fl. 1629 Walter Dürst (Q550988) => fl. 1960 (born 28 February 1927, possibly alive or dead, no record after 1960) Abu'l-Faraj Muhammad (Q16146127) => fl. 966 (died 981) Lucy Coats (Q6698240) => fl. 1979 (alive, but DOB unknown, no record before 1979) (note: this should be moved to the property statements)	Point in time
P157	person who killed subject	murderer (Q931260)	person (Q215627), organism (Q7239)	people (and maybe, in exceptional cases, entities, but probably not) (note: this should be moved to the property statements)	According to this template: Franz Ferdinand of Austria (Q43063) => Gavrilo Princip (Q80492), Medusa (Q160730) => Perseus (Q130832), Lord Voldemort (Q176132) => Harry Potter (Q3244512), John F. Kennedy (Q9696) => Lee Harvey Oswald (Q48745) According to statements in the property: Holofernes (Q625748) ? Judith (Q3187975) Franz Ferdinand of Austria (Q43063) ? Gavrilo Princip (Q80492) Medusa (Q160730) ? Perseus (Q130832) Lord Voldemort (Q176132) ? Harry Potter (Q3244512) John F. Kennedy (Q9696) ? Lee Harvey Oswald (Q48745) When possible, data should only be stored as statements	Item
P399	two or more objects of the same type as the subject, relating to each other : star systems, double star clusters, interacting galaxies...	null	astronomic bodies - astronomical object (Q6999)	astronomical object (Q6999) of same nature as the subject (note: this should be moved to the property statements)	According to this template: <h Persei> companion of <chi Persei> According to statements in the property: NGC 869 (Q482454) ? NGC 884 (Q33571) When possible, data should only be stored as statements	Item
P1318	country, organization, person which proved (to demonstrate that something is true or viable / to give proof for) sth. usually used as qualifier.	null	anything	country, organization, person (note: this should be moved to the property statements)	According to this template: Pythagorean theorem (Q11518) => Pythagoras (Q10261) According to statements in the property: Pythagorean theorem (Q11518) ? Pythagoras (Q10261) When possible, data should only be stored as statements	Item
P156	Item that comes after the current one, in a sequence, e.g. for series/sequels of books or films. Can be used as qualifier on a statement describing a series. Use in combination with follows (P155). See also replaces (P1365) and replaced by (P1366).	null	generic	item of the same nature (note: this should be moved to the property statements)	According to this template: <The Fellowship of the Ring (Q208002)> series (P179) => <The Lord of the Rings (Q15228)> <The Fellowship of the Ring (Q208002)> followed by (P156) => <The Two Towers (Q332388)> <George W. Bush (Q207)> position held (P39) => President of the United States of America (Q11696) qualifier followed by (P156) => Barack Obama (Q76) According to statements in the property: Star Wars Episode IV: A New Hope (Q17738) ? The Empire Strikes Back (Q181795) March (Q110) ? April (Q118) The Fellowship of the Ring (Q208002) ? The Two Towers (Q332388) When possible, data should only be stored as statements	Item
P277	the programming language(s) in which a software is developed	programming language (Q9143)	Creative work (Software)	for example C#, Perl, and all other items that are programming languages (note: this should be moved to the property statements)	Stockfish<Programming language>=C++ (note: this should be moved to the property statements)	Item
P398	null	null	null	null	null	null
P1436	amount of objects in a collection	null	museum (Q33506), library (Q7075), archive (Q166118), exhibition (Q464980)	organization (Q43229) (note: this should be moved to the property statements)	Maksim Bahdanovi? Literary Museum (Q12337378) => 16946 (note: this should be moved to the property statements)	Number
P1557	this item is a physical embodiment of an item representing information	abstraction (Q673661)	all	mainly works (note: this should be moved to the property statements)	organism (Q7239) ? life (Q3) citizen (Q1020994) ? citizenship (Q42138) banknote (Q47433) ? money (Q1368)	Item
P1678	the figure exposed when a corner of a polytope is sliced off.	vertex figure (Q598843)	vertex figure (Q598843)	polytope (Q747980) (note: this should be moved to the property statements)	According to this template: cuboctahedron (Q847941) => rectangle (Q209), 600-cell (Q2610844) => icosahedron (Q188758), pentagon (Q127840) => line segment (Q166154) , According to statements in the property: cuboctahedron (Q847941) ? rectangle (Q209) 600-cell (Q2610844) ? icosahedron (Q188758) pentagon (Q127840) ? line segment (Q166154) When possible, data should only be stored as statements	Item
P1558	indication about the speed or pace of a given musical piece	tempo (Q189214)	music	tempo markings (note: this should be moved to the property statements)	Étude No.1 from Trois nouvelles études (Q9255656) ? adagio (Q482153)	Item
P1313	political office that is fulfilled by the head of the government of this item	null	instances of administrative territorial entity (Q56061)	subclass of "political office" - position (Q4164871) (note: this should be moved to the property statements)	According to this template: United States of America (Q30) => President of the United States of America (Q11696) According to statements in the property: United Kingdom (Q145) ? Prime Minister of the United Kingdom (Q14211) United States of America (Q30) ? President of the United States of America (Q11696) When possible, data should only be stored as statements	Item
P1434	To link a work with the fictional universe it describes	fictional universe (Q559618)	work (Q386724)	instances of fictional universe (Q559618) (note: this should be moved to the property statements)	Firefly (Q11622) ? Serenityverse (Q17376102)	Item
P1314	number of spans a bridge has	bridge span (Q3538246)	bridge (Q12280)	>0 (note: this should be moved to the property statements)	Rialto Bridge (Q52505) ? 1 Birzhevoy Bridge (Q395113) ? 5	Number
P1435	null	historic preservation (Q914856)	null	null	Eiffel Tower (Q243) ? registered historic monument (Q10387575) Stanley Park (Q1126258) ? national historic site of Canada (Q1568567)	Item
P1677	primary case, patient zero: initial patient in the population of an epidemiological investigation	index case (Q1639798)	outbreak (Q3241045)	human (Q5) (note: this should be moved to the property statements)	According to this template: Thomas Eric Duncan (Q18249266) index case of Ebola virus disease in the United States (Q17486597) According to statements in the property: Thomas Eric Duncan (Q18249266) ? Ebola virus disease in the United States (Q17486597) When possible, data should only be stored as statements	Item
P1432	the song/track which is the b-side of this single	A-side and B-side (Q215233)	creative work: single (Q134556) (usually vinyl singles)	instances of single (Q134556) and song (Q7366) (note: this should be moved to the property statements)	Love Me Do (Q754877) ? P.S. I Love You (Q1419151)	Item
P1674	qualifier; number of occurrences classified as confirmed for reporting purposes	null	outbreak (Q3241045)	Non-negative integers (note: this should be moved to the property statements)	2014 Ebola virus epidemic in Liberia (Q18208679) number of cases 6,253, number confirmed 2,515 (note: this should be moved to the property statements)	Number
P1312	facet (Q3847020) of a polytope (Q747980), in the next-lower dimension.	facet (Q3847020)	type of polytopes (direct or indirect subclass of polytope (Q747980))	type of polytope (Q747980) of one lesser dimension (note: this should be moved to the property statements)	According to this template: dodecahedron (Q178296) => pentagon (Q127840) According to statements in the property: dodecahedron (Q178296) ? pentagon (Q127840) When possible, data should only be stored as statements	Item
P1433	collective work(s), book(s) or periodical(s) where the work was published	unknown	published works (article (Q191067), poems, etc.)	item subclass of publication (Q732577) and/or work (Q386724) (note: this should be moved to the property statements)	To a Creole Lady (Q3576923) ? Les Fleurs du mal (Q216578) L’Aérostation pendant le siège de Paris (Q15715588) ? Revue des deux Mondes (Q1569226) no label (Q3478941) ? The Seven Messengers (Q2375534) Chameleon (Q5824166) ? no label (Q20031482)	Item
